Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investor_Type,Investor_Name,Country,Founding_Year,Investment_Stage,Valuation,Exit_Type,Startup_Stage
Encord,B2B,INFRASTRUCTURE,,INFRASTRUCTURE,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Axiom.ai,B2B,OPERATIONS,,OPERATIONS,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Humaans,B2B,HUMAN RESOURCES,,HUMAN RESOURCES,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Alba Orbital,INDUSTRIALS,AVIATION AND SPACE,,AVIATION AND SPACE,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Webiny,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
Taktile,B2B,,,,2020.0,,,Accelerator,Y Combinator,Germany,2020.0,Seed,,,Active
CarbonChain,INDUSTRIALS,CLIMATE,,CLIMATE,2020.0,,,Accelerator,Y Combinator,United Kingdom,2020.0,Seed,,,Active
Akiflow,B2B,PRODUCTIVITY,,PRODUCTIVITY,2020.0,,,Accelerator,Y Combinator,Italy,2020.0,Seed,,,Active
Minimum,INDUSTRIALS,CLIMATE,,CLIMATE,2020.0,,,Accelerator,Y Combinator,United Kingdom,2020.0,Seed,,,Active
Scrimba,EDUCATION,,,,2020.0,,,Accelerator,Y Combinator,Norway,2020.0,Seed,,,Active
Tella,B2B,PRODUCTIVITY,,PRODUCTIVITY,2020.0,,,Accelerator,Y Combinator,Netherlands,2020.0,Seed,,,Active
Mailwarm,B2B,SALES,,SALES,2020.0,,,Accelerator,Y Combinator,France,2020.0,Seed,,,Active
Stacker,B2B,PRODUCTIVITY,,PRODUCTIVITY,2020.0,,,Accelerator,Y Combinator,United Kingdom,2020.0,Seed,,,Active
