Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investment_Stage,Investor_Names,Location,City,Canton,Founded_Year,Employees,Website
AI,AI/ML,AI/ML,Unknown,AI,2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Jaipur,AI/ML,AI/ML,Unknown,"AI, Robotics",2025,700.0K CHF,Pre-Seed,Pre-Seed,,Switzerland,,,,,
Beekeeper,SOFTWARE,SaaS,B2B,SaaS,2025,35.0M USD,Undisclosed,Growth,,Switzerland,,,,,
Startups,AI/ML,AI/ML,B2B,"AI, Robotics, AR/VR",2025,10.0K CHF,Funding Round,Pre-Seed,,Switzerland,,,,,
Composite,Unknown,,Unknown,AR/VR,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
DuraMon,Unknown,,Unknown,,2025,1.6M CHF,Seed,Seed,,Switzerland,,,,,
AImonitored,HEALTHCARE,Biotech,B2B,"AI, SaaS, Biotech, Healthtech, Robotics, AR/VR",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Startups,SOFTWARE,SaaS,B2B,"AI, SaaS, IoT, Robotics, AR/VR",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
EVs,CLEANTECH,Energy,Unknown,"Cleantech, AR/VR",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Technis,Unknown,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
CellX,Unknown,,Unknown,,2025,1.7M CHF,Pre-Seed,Pre-Seed,,Switzerland,,,,,
Comphya,HEALTHCARE,,Unknown,Healthtech,2025,4.35M CHF,Series A,Series A,,Switzerland,,,,,
Verretex,AI/ML,AI/ML,Unknown,"AI, AR/VR",2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
DPhi,AI/ML,AI/ML,Unknown,AI,2025,2.1M CHF,Undisclosed,Series A,,Switzerland,,,,,
Mimic,ROBOTICS,,Unknown,Robotics,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Startups,HEALTHCARE,Digital Health,B2B,"AI, Biotech, Healthtech, Robotics, AR/VR",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
RoomPriceGenie,Unknown,,Unknown,Biotech,2025,75.0M USD,Funding Round,Growth,,Switzerland,,,,,
OptimalPSI,HEALTHCARE,Digital Health,Unknown,Healthtech,2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
BioVersys,Unknown,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
Scanvio,Unknown,,Unknown,,2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
SAEKI,AI/ML,AI/ML,B2B,"AI, AR/VR",2025,6.7M USD,Undisclosed,Series B,,Switzerland,,,,,
Sylvester,SOFTWARE,SaaS,B2B,"AI, SaaS, AR/VR",2025,7.5M USD,Series A,Series A,,Switzerland,,,,,
